date,Community name,COMM_CODE,Number of taxable accounts,Median assessed value
2016,Abbeydale,ABB,1804,310000
2016,Acadia,ACA,3859,396000
2016,Albert Park/Radisson Hts,ALB,1916,328000
2016,Altadore,ALT,2823,776000
2016,Applewood Park,APP,1795,369000
2016,Arbour Lake,ARB,4332,469000
2016,Aspen Woods,ASP,3319,815000
2016,Auburn Bay,AUB,4906,497000
2016,Banff Trail,BNF,1244,611000
2016,Bankview,BNK,2245,281000
2016,Bayview,BYV,248,1020000
2016,Beddington Heights,BED,4070,355000
2016,Belaire,BEL,157,1710000
2016,Beltline,BLN,16520,321000
2016,Bonavista Downs,BDO,368,422000
2016,Bowness,BOW,3720,377000
2016,Braeside,BRA,2536,382000
2016,Brentwood,BRE,3391,518000
2016,Bridgeland/Riverside,BRD,2743,435000
2016,Bridlewood,BRI,4756,397000
2016,Britannia,BRT,287,1540000
2016,Cambrian Heights,CAM,699,553000
2016,Canyon Meadows,CAN,3136,436000
2016,Capitol Hill,CAP,1444,542000
2016,Castleridge,CAS,1654,324000
2016,Cedarbrae,CED,2344,373000
2016,Chaparral,CHA,4399,492000
2016,Charleswood,CHW,1319,569000
2016,Chinatown,CHN,1215,356000
2016,Chinook Park,CHK,526,693000
2016,Christie Park,CHR,726,699000
2016,Citadel,CIT,3620,447000
2016,Cliff Bungalow,CLI,839,319000
2016,Coach Hill,COA,1481,393000
2016,Collingwood,COL,839,553000
2016,Copperfield,CPF,5143,388000
2016,Coral Springs,COR,1474,488000
2016,Cougar Ridge,CGR,2361,583000
2016,Country Hills,COU,1562,388000
2016,Country Hills Village,CHV,2231,281000
2016,Coventry Hills,COV,5510,409000
2016,Cranston,CRA,6790,471000
2016,Crescent Heights,CRE,3007,391000
2016,Crestmont,CRM,484,639000
2016,Dalhousie,DAL,3670,467000
2016,Deer Ridge,DRG,1383,355000
2016,Deer Run,DRN,2101,398000
2016,Diamond Cove,DIA,271,532000
2016,Woodbine,WBN,3337,450000
2016,Discovery Ridge,DIS,2278,702000
2016,Douglasdale/Glen,DDG,5023,480000
2016,Dover,DOV,4136,290000
2016,Downtown Commercial Core,DNC,3217,160000
2016,Downtown East Village,DNE,1608,323000
2016,Downtown West End,DNW,2362,364000
2016,Eagle Ridge,EAG,108,1595000
2016,Eau Claire,EAU,2805,505000
2016,Edgemont,EDG,5363,574000
2016,Elbow Park,EPK,1192,1360000
2016,Elboya,EYA,690,776000
2016,Erin Woods,ERI,2348,315000
2016,Erlton,ERL,1115,433000
2016,Evanston,EVN,4808,477000
2016,Evergreen,EVE,7832,489000
2016,Fairview,FAI,1254,406000
2016,Falconridge,FAL,2867,305000
2016,Forest Heights,FHT,1891,294000
2016,Forest Lawn,FLN,1941,311000
2016,Glamorgan,GLA,2348,435000
2016,Glenbrook,GBK,2332,415000
2016,Glendale,GDL,982,571000
2016,Greenview,GRV,749,225000
2016,Greenwood/Greenbriar,GRE,499,42000
2016,Hamptons,HAM,2475,678000
2016,Harvest Hills,HAR,2655,432000
2016,Hawkwood,HAW,3499,494000
2016,Haysboro,HAY,3339,402000
2016,Hidden Valley,HID,3849,427000
2016,Highland Park,HPK,1314,484000
2016,Highwood,HIW,803,468000
2016,Hillhurst,HIL,2467,624000
