COMM_CODE,CLASS,CLASS_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,WARD_NUM
CRA,Residential,1,CRANSTON,SOUTHEAST,COMPLETE,BUILDING OUT,12
PKH,Residential,1,PARKHILL,CENTRE,ESTABLISHED,1950s,8
CRE,Residential,1,CRESCENT HEIGHTS,CENTRE,ESTABLISHED,INNER CITY,7
ROY,Residential,1,ROYAL OAK,NORTHWEST,COMPLETE,2010s,1
ALP,Residential,1,ALPINE PARK,SOUTH,DEVELOPING,BUILDING OUT,13
FAL,Residential,1,FALCONRIDGE,NORTHEAST,ESTABLISHED,1980s/1990s,5
RUT,Residential,1,RUTLAND PARK,WEST,ESTABLISHED,1950s,8
NAW,Industrial,2,NORTH AIRWAYS,NORTHEAST,N/A,EMPLOYMENT,10
SDC,Residential,1,SUNDANCE,SOUTH,ESTABLISHED,1980s/1990s,14
SUN,Industrial,2,SUNRIDGE,NORTHEAST,N/A,EMPLOYMENT,10
PKL,Residential,1,PARKLAND,SOUTH,ESTABLISHED,1960s/1970s,14
BRA,Residential,1,BRAESIDE,SOUTH,ESTABLISHED,1960s/1970s,11
SFH,Industrial,2,SOUTH FOOTHILLS,SOUTHEAST,N/A,EMPLOYMENT,12
CAS,Residential,1,CASTLERIDGE,NORTHEAST,ESTABLISHED,1980s/1990s,5
ARB,Residential,1,ARBOUR LAKE,NORTHWEST,ESTABLISHED,2000s,2
13I,Residual Sub Area,4,13I,SOUTH,N/A,UNDEVELOPED,13
10D,Residual Sub Area,4,10D,NORTHEAST,FUTURE,UNDEVELOPED,10
HOU,Residential,1,HOUNSFIELD HEIGHTS/BRIAR HILL,CENTRE,ESTABLISHED,1950s,7
VIS,Residential,1,VISTA HEIGHTS,NORTHEAST,ESTABLISHED,1960s/1970s,10
11B,Residual Sub Area,4,11B,SOUTH,N/A,UNDEVELOPED,6
THO,Residential,1,THORNCLIFFE,NORTH,ESTABLISHED,1950s,4
